post_id,caption,sentiment_analysis
"51","/And if there is a paradise hidden in the sky, I hope you never get to see it when you die/
.
Paradise - Frank Carter and the Rattlesnakes 🐍 .
Full video on YouTube, check out the link in my bio.
Haven’t done an *ANGRY* song in a while and quarantine is just pissing everyone off so here y’all go. Also Frank Carter is SEVERELY underrated and EVERYONE should listen to him, period. (@ NITWMC fam there’s an Easter egg above my head 🌚 )
.
.
Tags: #drumming  #drums  #drummer  #drum  #drummers  #music  #drumset  #drumlife  #drumsticks  #drummerlife  #drumkit #musician  #drumline  #drumandbass  #drumsdrumsdrums  #groove  #drumuniversity  #drumfam  #alesis  #edrums  #drumuniversity  @drumuniversity @jamiphy #jamiphy  #alesis  #alesisdrums  #alesisgear#vicfirth #frankcarter #frankcarterandtherattlesnakes #blossom","0"
"52","Hum ladke apne doston ke baare aacha kyun nahi bolte? Aisi kya sharm hai? Bas inhi sawalon ke jawab me, aaj mai aapki mulaqaat @jokesingh bhai se karva raha hoon jinhe mai tahe dil se kehna chahta hoon ki #BhaiILoveYou

Dilli aur mumbai ke beech zindagi poori badal gayi par aapse rishta nahi badla. Mujhe yaad hai humari dosti ki shuruwat hui jab ek din kisi open mic ke baad baaton baaton me aapne aise hi mazak me kaha tha ki tu aise perform karta hai jaise apne ghar ke sofe pe betha ho. Woh baat mere liye apne kaam ko pehchanne ke liye bahut kargar sabit hui.
2011 Se 2020 tak aapko dekha hai, aapse seekha hai bahut kuch. Aapse bade bhai wala sneh aur dost wali imaandari humesha ek sath mili hai.
@jokesingh bhai shukriya mujhe 2014 me mera pehle 1 hour perform karne ka mauka dene ke liye. Uss 320 seat wale show me sirf 19 tickets bechne ke bawajud show cancel nahi karne ke liye shukriya. Shukriya naukri ke dauran mahine ke aakhiri dino me udhar dene ke liye. Mere late aane ki aadat par nahi datne ke liye shukriya. Aap hustler ho yeh sab jante hain, par uss hustle ke liye jo risk aap lete ho woh shayad hi koi samajhta ho. Kash mai woh aapse seekh paun kabhi. Zindagi ki long drive me gaadi chahe aap chala lena par mai bas sath rehna chahta hoon chips aur cold-drinks liye.
Akhri baat, shukriya @jokesingh bhai rishte nibhana seekhane ke liye.","-1"
"53","I have many Spanish speaking family members across the country who could benefit from vital COVID-19 information in Spanish that could help keep them safe, and provide resources in these tough times. In partnership with @LULAC & @hornitostequila, I am proud to raise awareness about this Spanish information resource. (Link in profile) I hope @gloriakellett & @stephaniebeatriz will join me in spreading the word! Post #AyudaEnEspanol for someone who could benefit from this. We’re all in this together. Special thanks to my son, Enzo for adding some color to my sign💗","1"
"54","thinking of getting rid of my glasses.","-1"
"55","headed to the store .. need me to grab you anything ?","0"
"56","Good days will come. 🌤️
Bad days will come. ⛈️
You keep going. 💪
God has your back and he loves u more than anyone. 🌿

الحمد لله ♥️","1"
"57","LINK TO FULL VIDEO IN BIO! *listen with headphones*
@billieeilish , you are seriously so talented! 🔥❤
Do subscribe, like and share as I'm gonna post all my #quarantunes on my YouTube Page every week here onwards, in English, Hindi, Tamil, Malayalam, Spanish, French and much more! Ping the notification bell to stay tuned 🎶❤
#music #singer #songs #amazingsong #evergreensong #awardwinning #topvocals #topvocalist #indiansingers #singingtalentofindia #singingtalent #billieeilish #dubaimusic #hollywoodsongs #english #englishsong #songcover #instacover #singergirl #lovethissong #lovely #singing #singingtalent #youtube #hollywood #hollywoodsongs #billieeilish #suriyabadrinath #indiansingers #staysafe #2020 #love #stayhome","1"
"58","To those days when I took “eating out” for granted!!","-1"
"59","Throwback to the day I was searching for happiness and found this one❤️
P.c. @garywxyz","1"
"60","It gets darkest before the light. The light that we see just before the dark, however, that’s what gets us through the night.","0"
"61","new tat . v hot . leave compliments plz . happy easter . #newink #hotbod #guyswithtats #hardwork #paysoff","1"
"62","The pigeons are lonely outside but trust me you don't need to give them company now.
-
-
#stayhome #oldpic","-1"
"63","Regardless of the crazy circumstances going in the world right now, one thing remains the same..He is risen🙌🏽
Happiest Easter from the Wesson family❤️","1"
"64","No beauty shines better than that of a genuine heart❣️. CC: @shaypriya_p
EC: @_._bharath_venkie_._
PC: @varshu.subbu","1"
"65","Quarantined Easter 2020 a success🐣🐰","1"
"66","No Monday blues (wait what day is it?)","0"
"67","La Casa de Papel 💰

I just binge watched the entire show in 5 days and I have to tell you this is one of the most well-written and amazingly enacted series EVER 🤩
My only regret is not watching this series before the hype ♥️😂
So until the next artwork, Bella Ciao ♥️
Love,
#shawartma
.
.
.

#moneyheist #theprofessor #moneyheistedit #berlin #moneyheistcostume #dali #moneyheistfans #moneyheistnetflix #moneyheistcosplay #moneyheistfan #moneyheist4 #rio #denver #nairobi #laputaama #moneyheistart #moneyheisttokyo #moneyheistmemes #moneyheistfanart #moneyheistpart4 #moneyheistprofessor #stockholm #lacasadepapel #netflix #bellaciao","1"
"68","Most loved kid of the house 🤔","1"
"69","Waiting for (1)99","0"
"70","Ken and Chip #83

______________________________________

Video calls are apparently part of our lives now. When they were first introduced, I assumed it would be the most popular form of communication but I guess it never really caught on till a pandemic struck the whole planet. Thanks to technology, seeing and hearing each other has become so simple...well we still can’t smell each other (thank god). I mean it could have been worse, we could have had no internet.
This Easter, I hope you are close to your family through technology as we get through this together.

Illustrated by @awkwerrrrrd
#kenandchip #kennysebastian #series #funny #dog #pet #dogsofinsta #comic #strip #video #zoom #skype #hangout #connected #lockdown #stayhome #happyeaster","1"
"71","Kulsumbi+Sesame ❤️❤️
💥💥💥💥💥💥💥💥💥
Happy Easter 🐰🐣 #stayhomestaysafe","1"
"72","Tie dyed some Easter eggs today🌈
We used the shaving cream and food coloring method but unfortunately the eggs didn’t take to the colors very well. The process was still fun though and that’s all that matters🤗","-1"
"73","""The wind of heaven is that which blows through a horses ears"" 🐎","0"
"74","It's a new dawn; it's a new day; it's a new year -- and I'm feeling good.","1"
"75","Quarantine activities: 1. Listen to Britney 2. Listen to Britney! Check out #Dolittle streaming online this weekend with your little ones... #Repost @britneyspears with ・・・
This movie is a must see !!! @RobertDowneyJr is so genuine you fall in love with him ….. the animal characters are hilarious and there seems to be a Special Tone throughout the whole movie which I find hard to find these days 🤔🤔🤔😘. So if you watch this movie and you're as enamored as I was with his jackets and clothing …. don’t get lost like I did 😂 just remember he’s a man who can speak to animals and he’s brilliant 🦜🐳🦁🐷🐻🦋💕 !!!!! Pss …. how long has it been since you’ve seen what you’ve wanted to see ….. I can’t even count how many movies I’ve watched in this quarantine so far 🙄🙄🙄😅😅😅 !!!!!","1"
"76","•Wish we could turn back time,
To the good old days!• #singapore2019","0"
"77","Dilnawaz • Solo Cover

The solo I never got to play thanks to #corona 😥. S/O to @parasthakur and @thelocaltrain for a great song. Support local music and talent!

Gear:
🎸 @fender Squier Affinity HSS Stratocaster Montego Black
🧵 @ernieball Extra Slinky .008-.038
🔌 @zoomsoundlab G1X Four Pedal
📷 @gopro Hero 5 Black
🎛️ @ableton Live 10 Lite

#guitar #guitarist #solo #guitarsolo #fender #squier #stratocaster #ernieball #zoom #effects #gopro #music #musician #cover #hero5 #ableton @guitar @lickwars @riffwars #riffwars @guitarsarebetter #metal #metalhead #rock #thelocaltrain #dilnawaz #alaskapedh #localmusic #hindi #indian","1"
"78","The workers in Singapore and other parts of the world have been hit severely during this Covid crisis. We must remember them in our prayers and do what we can to help them out.
-
-
#stayhome","-1"
"79","Glad to have made such a great friend and teammate ♥️ Stay the same and keep smiling as you always do😁. Loads of wonderful memories to cherish and looking forward to meet you sometime soon in the future 💞","1"
"80","the office is starting to get REAL boring this quarantine 😿","-1"
"81","National Sibling Day with my favorite siblings💕I’ve got to say, seeing these two interact each day while being quarantined has made my heart happy to know that they have each other. Yes, like all siblings, they fight and scream and cry a good portion of the day, but they also belly laugh, entertain one another, and love so SO fiercely. I hope they always remember how special it is to have one another💕#nationalsiblingday","1"
"82","hope everybody is safe and healthy . wishing a happy easter to all those observing . 😷🐰","1"
"83","🧜🏼‍♀️","0"
"84","Line up for tomorrow's Stay Home For India charity stream. 2pm - 10 pm. Come. Watch. Donate.","1"
"85","That’s you, when she arrives all dolled up! 😏","0"
"86","//To the last time someone put a smile on my face🤷🏻‍♂️
.
.
.
Anyone else bored of doing nothing all day?🙋🏻‍♂️
.
.
.
#QuarantineandChillnotworkingout
#AnymoreLockdownsandIllBreakdowm
#CoronaJaona
.
.
.
🐼","-1"
"87","We are excited to announce our newest distribution partner, Simulocity. The partnership will bring together Arcadier’s specialization in marketplace technology & Simulocity’s deep experience in creating virtual exhibitions & shopping malls to create an immersive virtual experience. Click link in our bio!

#Arcadier #Simulocity #Marketplaces #Virtualization #Technology","1"
"88","Our dancers had a blast dancing for Aaraathanaa 2020 and we hope all of you enjoyed our performance. Thank you @muscandoit for choreographing this fun and exciting piece for us! We will be bringing you more quality performances soon, so stay tuned! 😊","1"
"89","#islamic #islam #muslim #allah #islamicquotes #quran #sunnah #muslimah #ramadan #hijab #allahuakbar #dua #deen #jannah #makkah #ahmadjuneja #love #prayer #muhammad #hadith #instaislam #pray #hijabi #urdu #prophet #Allah #subhanallah #ummah #madina #bhfyp","0"
"90","Will be part of ‘Stay Home for India’ happening on the 11th & 12th of April from 2-10pm

We will be streaming from @tanmaybhat 's YouTube channel to raise funds for helping with the fight against COVID 19

Join us - it’s going to be a fun day full of live gaming, comedy & improv!
Donations via UPI to +91 8291378363","1"
"91","After all this is over, can we go to the beach please! 🌴","0"
"92","A little TBT to the fun times this term. Also a throwback to when CGP smacked my man Tony with the axe before we all got very drunk","-1"
"93","ITS HEIST NIGHT!!! Take a break with us and enjoy some Halloween Heist shenanigans. See you tonight Nine Niners! 🚨🚨🚨🚨🚨 #Brooklyn99 8:30pm on NBC","1"
"94","~~ “Want endless sun ☀️ , endless fun💃 and endless golden hours” ~~ #postQuarantine","1"
"95","SIX FEET APART .. OUT EVERYWHERE NOW .. LINK IN BIO .. ! .. ! .. !","1"
"96","💕 𝐅𝐚𝐜𝐞 𝐝𝐨𝐞𝐬𝐧'𝐭 𝐦𝐚𝐭𝐭𝐞𝐫 𝐭𝐨 𝐟𝐚𝐜𝐞 𝐭𝐡𝐞 𝐬𝐨𝐜𝐢𝐞𝐭𝐲 💕⁣
⁣.
.
.
.
.
Making coming out soon !
Stayed Tuned 🙌
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
#deepikapadukone #laxmiagarwal #chhapaak #acidattack #acidattacksurvivors #survivor #respect #fighter #beauty #innerbeauty #soul #society #instaart #instaartist #artstagram #art #artist","0"
"97","Best cooking hack during lockdown","1"
"98","Born wid glitters in the veins 😛♥️ # quarantine #lockdown#stayhome #boredomatrocities ~CC: @_._bharath_venkie_._ ~EC: @_._bharath_venkie_._ ~PC: @varshu.subbu","1"
"99","❤️","0"
"100","Stay at home guys","0"
"101","Hey y'all sorry it's taking too long but here #sixfanartschallenge","-1"
"102","Hey y'all sorry it's taking too long but here #sixfanartschallenge","-1"
"103","Like if y'all get it my dudes who have online finals as well","0"
"104","“If one does not fail at times then one has not challenged himself” - Ferdinand Porsche 🍁","1"
"105","“If one does not fail at times then one has not challenged himself” - Ferdinand Porsche 🍁","1"
"106","✨❤️","0"
"107","Pyaar se jeetne waale ko paw-zigar kehte hain... more","0"
"108","My official quarantine look 🤣 planning to make a trip to himalayas after this","1"
"109","Armageddon is here☠️☠️","0"
"110","My official quarantine look 🤣 planning to make a trip to himalayas after this","1"
"111","🌸❤️🌸","0"
"112","Fail.","-1"
"113","Fail.","-1"
"114","Blinding Lights- The Weeknd ✨ ft @riju.insta .
Did a lil instrumental cover of this great song by @theweeknd , it was 11/10 fun. As always, full video on my YouTube, and the link is in the bio :)
.
.
.
Tags:
#drumming  #drums  #drummer  #drum  #drummers  #music  #drumset  #drumlife  #drumsticks  #drummerlife  #drumkit #musician  #drumline  #drumandbass  #drumsdrumsdrums  #groove  #drumuniversity  #drumfam  #alesis  #edrums  #drumuniversity  @drumuniversity @jamiphy #jamiphy  #alesis  #alesisdrums  #alesisgear#vicfirth.","1"
"115","The love,
The sacrifices you’ve made,
The compromises you conceal,
The meaning you add to my life,
The happiness you bring to my system,
The smile that you ensure on days of all kinds,
The very existence of YOU in my world is a blessing.
You are my baby n you’ll be that even when you are a 100 years old.
You have to be me, to know how much I love you!
Today is a reminder, of how lucky I’m to have you in my life.
Happy birthday monkey😘❤️","1"
"116","Corazón Espinado • Solo Cover

Santana is very underrated as a guitarist and his music always makes me mambo @carlossantana

Gear:
🎸 @fender Squier Affinity HSS Stratocaster Montego Black
🧵 @ernieball Extra Slinky .008-.038
🔌 @zoomsoundlab G1X Four Pedal
📷 @gopro Hero 5 Black
🎛️ @ableton Live 10 Lite

#guitar #guitarist #solo #guitarsolo #fender #squier #stratocaster #ernieball #zoom #effects #gopro #music #musician #cover #hero5 #ableton @guitar @lickwars @riffwars #riffwars @guitarsarebetter #latin #santana #carlossantana #prs","1"
"117","This picture makes me think about the life we had, going out whenever we felt like, drinking and eating whatever we wanted from wherever we cud afford to buy from, driving, chilling with friends... We just took it all for granted! Look at us now. 😂🤦🏻‍♂️","0"
